# This is a file containing data from 2 Cherenkov Telescopes
# The number specifies the telescope
#
# Description of the features
# Length: Length of Hillas ellipse
# Width: Width of Hillas ellipse
# Size: Sum of all charges
# Hadronness: Indicating particle type
#
Length1 Width1 Size1 Length2 Width2 Size2 Energy Hadronness
24.6122 18.0829 117.695 23.1138 15.5152 80.9609 57.0533 0.1385
46.8757 19.9493 207.789 34.0537 11.0144 49.9922 157.391 0.217623
86.8943 30.9958 10747 90.6596 40.4637 13109.3 2864.07 0.00166667
62.2304 32.9116 3191.92 54.6931 30.9662 3647.42 1533.8 0.0186667
25.3921 15.0906 98.6875 33.3355 14.1 95.0469 136.617 0.138552
36.1949 27.4185 720.828 49.5122 33.2083 862.406 459.999 0.172
58.5725 28.6942 2087.34 80.8396 34.8754 7302.73 4700.37 0
48.8776 20.211 178.609 34.0806 12.8011 68.7656 106.504 0.346272
86.4294 22.335 880.992 69.0651 25.0697 668.492 618.178 0.0605
26.3359 14.1786 88.6641 29.1319 21.883 82.5547 42.953 0.0850833
42.7413 22.9412 276.609 54.4804 18.0811 186.289 288.313 0.364857
